Disease,Description
Chicken pox,"ଚିକେନପକ୍ସ ହେଉଛି ଭାରିସେଲା-ଜୋଷ୍ଟର ଜୀବାଣୁ (VZV) ଦ୍ caused ାରା ଏକ ଅତ୍ୟଧିକ ସଂକ୍ରାମକ ରୋଗ। ଏହା ଖରାପ, ଫୁଲା ଭଳି ଦାଗ ସୃଷ୍ଟି କରିପାରେ | ଏହି ଛାତି ପ୍ରଥମେ ଛାତି, ପିଠି ଏବଂ ମୁହଁରେ ଦେଖାଯାଏ, ଏବଂ ତା’ପରେ ସମଗ୍ର ଶରୀର ଉପରେ ବ୍ୟାପିଥାଏ, ଯାହା ଦ୍ 250 ାରା 250 ରୁ 500 କୁଞ୍ଚିତ ଫୁଲା ସୃଷ୍ଟି ହୁଏ |"
Chikungunya,ତାମିଲନାଡୁ / ଟ୍ରପିକାଲ୍ ଅଞ୍ଚଳରେ ସାଧାରଣ ଅବସ୍ଥା | ଚିକୁଙ୍ଗୁନିଆ ଠିକ୍ ସମୟରେ ଯତ୍ନ ନେବା ଆବଶ୍ୟକ କରନ୍ତି |
Cholera (Acute),କଲେରାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Cholera (Chronic),କଲେରାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Cholera (Mild),କଲେରାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Cholera (Severe),କଲେରାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Cholera (Stage 1),କଲେରାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Cholera,"Arr ାଡ଼ା, ବାନ୍ତି, ବାନ୍ତି ଦ୍ୱାରା ବର୍ଣ୍ଣିତ ଏକ ଚିକିତ୍ସା ଅବସ୍ଥା |"
Chronic cholestasis (Acute),କ୍ରୋନିକ୍ କୋଲେଷ୍ଟାସିସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Chronic cholestasis (Chronic),କ୍ରୋନିକ୍ କୋଲେଷ୍ଟାସିସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Chronic cholestasis (Mild),କ୍ରୋନିକ୍ କୋଲେଷ୍ଟାସିସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Chronic cholestasis (Severe),କ୍ରୋନିକ୍ କୋଲେଷ୍ଟାସିସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Chronic cholestasis (Stage 1),କ୍ରୋନିକ୍ କୋଲେଷ୍ଟାସିସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Chronic cholestasis,"କ୍ରନିକ୍ କୋଲେଷ୍ଟାଟିକ୍ ରୋଗ, ଶିଶୁ, ପିଲାଦିନ କିମ୍ବା ବୟସ୍କ ଅବସ୍ଥାରେ ହେଉ, ଯକୃତରୁ ଅନ୍ତନଳୀକୁ ତ୍ରୁଟିଯୁକ୍ତ ବାଇଲ ଏସିଡ୍ ପରିବହନ ଦ୍ୱାରା ବର୍ଣ୍ଣିତ, ଯାହା ଅଧିକାଂଶ କ୍ଷେତ୍ରରେ ବିଲିୟାରି ଏପିଥେଲିୟମ୍ରେ ପ୍ରାଥମିକ କ୍ଷତି ହେତୁ ହୋଇଥାଏ |"
Common Cold (Acute),ସାଧାରଣ ଶୀତର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Common Cold (Chronic),ସାଧାରଣ ଶୀତର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Common Cold (Mild),ସାଧାରଣ ଶୀତର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Common Cold (Severe),ସାଧାରଣ ଶୀତର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Common Cold (Stage 1),ସାଧାରଣ ଶୀତର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Common Cold,"ସାଧାରଣ ଥଣ୍ଡା ହେଉଛି ତୁମର ନାକ ଏବଂ ଗଳାର ଭୂତାଣୁ ସଂକ୍ରମଣ (ଉପର ଶ୍ tract ାସକ୍ରିୟା) | ଏହା ସାଧାରଣତ harm ଅନିଷ୍ଟହୀନ, ଯଦିଓ ଏହା ସେପରି ଅନୁଭବ କରିନପାରେ | ଅନେକ ପ୍ରକାରର ଜୀବାଣୁ ସାଧାରଣ ଥଣ୍ଡା ସୃଷ୍ଟି କରିପାରେ |"
Conjunctivitis (Pink Eye) (Acute),କନଜୁଣ୍ଟିଭାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Conjunctivitis (Pink Eye) (Chronic),କନଜୁଣ୍ଟିଭାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Conjunctivitis (Pink Eye) (Mild),କନଜୁଣ୍ଟିଭାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Conjunctivitis (Pink Eye) (Severe),କନଜୁଣ୍ଟିଭାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Conjunctivitis (Pink Eye) (Stage 1),କନଜୁଣ୍ଟିଭାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Conjunctivitis (Pink Eye),"ଲାଲତା_ନ_ନ_ର_ବଥ_ ଆଖି, କୁଣ୍ଡେଇ ହେବା"
Dengue (Acute),ଡେଙ୍ଗୁ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Dengue (Chronic),ଡେଙ୍ଗୁ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Dengue (Mild),ଡେଙ୍ଗୁ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Dengue (Severe),ଡେଙ୍ଗୁ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Dengue (Stage 1),ଡେଙ୍ଗୁ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Dengue,"ଏକ ଫ୍ଲାଭିଭାଇରସ୍ (ଫ୍ଲାଭିଭାଇରସ୍ ପ୍ରଜାତିର ଡେଙ୍ଗୁ ଜୀବାଣୁ) ଦ୍ ed ାରା ସୃଷ୍ଟି ହୋଇଥିବା ଏକ ତୀବ୍ର ସଂକ୍ରାମକ ରୋଗ, ଏଡିସ୍ ମଶା ଦ୍ mitted ାରା ସଂକ୍ରମିତ ହୋଇ ମୁଣ୍ଡବିନ୍ଧା, ପ୍ରବଳ ଗଣ୍ଠି ଯନ୍ତ୍ରଣା ଏବଂ ଦାଗ ଦ୍ୱାରା ବର୍ଣ୍ଣିତ। - ବ୍ରେକବୋନ ଜ୍ୱର, ଡେଙ୍ଗୁ ଜ୍ୱର ମଧ୍ୟ କୁହାଯାଏ |"
Depression (Acute),ଉଦାସୀନତାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Depression (Chronic),ଉଦାସୀନତାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Depression (Mild),ଉଦାସୀନତାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Depression (Severe),ଉଦାସୀନତାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Depression (Stage 1),ଉଦାସୀନତାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Depression,"ଏକ ଚିକିତ୍ସା ଅବସ୍ଥା ନିରାଶା, କ୍ଷତି_ଫ_ ଇଣ୍ଟରେଷ୍ଟ, ଥକ୍କା ଦ୍ୱାରା ବର୍ଣ୍ଣିତ |"
Diabetes  (Acute),ମଧୁମେହର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Diabetes  (Chronic),ମଧୁମେହର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Diabetes  (Mild),ମଧୁମେହର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Diabetes  (Severe),ମଧୁମେହର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Diabetes  (Stage 1),ମଧୁମେହର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Diabetes ,"ମଧୁମେହ ହେଉଛି ଏକ ରୋଗ ଯାହା ଯେତେବେଳେ ତୁମର ରକ୍ତ ଗ୍ଲୁକୋଜ, ଯାହାକୁ ବ୍ଲଡ ସୁଗାର ମଧ୍ୟ କୁହାଯାଏ, ତାହା ଅଧିକ ଥାଏ | ରକ୍ତ ଗ୍ଲୁକୋଜ ହେଉଛି ଆପଣଙ୍କର ଶକ୍ତିର ମୁଖ୍ୟ ଉତ୍ସ ଏବଂ ଆପଣ ଖାଉଥିବା ଖାଦ୍ୟରୁ ଆସିଥାଏ | ଅଗ୍ନାଶୟ ଦ୍ made ାରା ନିର୍ମିତ ଏକ ହରମୋନ୍ ଇନସୁଲିନ୍, ଖାଦ୍ୟରୁ ଗ୍ଲୁକୋଜ୍ ଆପଣଙ୍କ କୋଷକୁ ଶକ୍ତି ପାଇଁ ବ୍ୟବହାର କରିବାରେ ସାହାଯ୍ୟ କରେ |"
Diabetic Foot Ulcer,ତାମିଲନାଡୁ / ଟ୍ରପିକାଲ୍ ଅଞ୍ଚଳରେ ସାଧାରଣ ଅବସ୍ଥା | ଡାଇବେଟିସ୍ ଫୁଟ୍ ଅଲସର୍ ଠିକ୍ ସମୟରେ ଯତ୍ନ ନେବା ଆବଶ୍ୟକ କରେ |
Dimorphic hemmorhoids(piles) (Acute),ଡିମୋରଫିକ୍ ହେମୋରୋଏଡ୍ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Dimorphic hemmorhoids(piles) (Chronic),ଡିମୋରଫିକ୍ ହେମୋରୋଏଡ୍ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Dimorphic hemmorhoids(piles) (Mild),ଡିମୋରଫିକ୍ ହେମୋରୋଏଡ୍ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Dimorphic hemmorhoids(piles) (Severe),ଡିମୋରଫିକ୍ ହେମୋରୋଏଡ୍ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Dimorphic hemmorhoids(piles) (Stage 1),ଡିମୋରଫିକ୍ ହେମୋରୋଏଡ୍ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Dimorphic hemmorhoids(piles),ଡିମୋରଫିକ୍ ହେମୋରୋଏଡ୍ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Diphtheria (Acute),ଡିଫଥେରିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Diphtheria (Chronic),ଡିଫଥେରିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Diphtheria (Mild),ଡିଫଥେରିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Diphtheria (Severe),ଡିଫଥେରିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Diphtheria (Stage 1),ଡିଫଥେରିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Diphtheria,"ମୋଟା_ଗ୍ରେ_ ମେମ୍ବ୍ରେନ୍_କଭର୍ସିଂ_ଥ୍ରୋଟ୍, ଘା ’, ଗଳା, ଫୁଲିଯିବା ଦ୍ by ାରା ଏକ ଚିକିତ୍ସା ଅବସ୍ଥା ବର୍ଣ୍ଣିତ |"
Drug Reaction (Acute),ଡ୍ରଗ୍ ପ୍ରତିକ୍ରିୟାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Drug Reaction (Chronic),ଡ୍ରଗ୍ ପ୍ରତିକ୍ରିୟାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Drug Reaction (Mild),ଡ୍ରଗ୍ ପ୍ରତିକ୍ରିୟାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Drug Reaction (Severe),ଡ୍ରଗ୍ ପ୍ରତିକ୍ରିୟାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Drug Reaction (Stage 1),ଡ୍ରଗ୍ ପ୍ରତିକ୍ରିୟାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Drug Reaction,ପ୍ରତିକୂଳ drug ଷଧ ପ୍ରତିକ୍ରିୟା (ADR) ହେଉଛି ication ଷଧ ଖାଇବା ଦ୍ୱାରା ହୋଇଥିବା ଆଘାତ | ଗୋଟିଏ dose ଷଧ କିମ୍ବା ଦୀର୍ଘ ଦିନର ବ୍ୟବସ୍ଥାର ଅନୁସରଣ ପରେ କିମ୍ବା ଦୁଇ କିମ୍ବା ଅଧିକ drugs ଷଧର ମିଶ୍ରଣରୁ ADR ଗୁଡିକ ଘଟିପାରେ |
Ebola (Acute),ଇବୋଲାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Ebola (Chronic),ଇବୋଲାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Ebola (Mild),ଇବୋଲାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Ebola (Severe),ଇବୋଲାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Ebola (Stage 1),ଇବୋଲାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Ebola,"ଜ୍ୱର, ଭୟଙ୍କର_ ମୁଣ୍ଡବିନ୍ଧା, ଗଣ୍ଠି_ମଣ୍ଡଳ_ ଯନ୍ତ୍ରଣା ଦ୍ୱାରା ଏକ ଚିକିତ୍ସା ଅବସ୍ଥା |"
Eczema (Acute),ଏକଜେମାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Eczema (Chronic),ଏକଜେମାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Eczema (Mild),ଏକଜେମାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Eczema (Severe),ଏକଜେମାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Eczema (Stage 1),ଏକଜେମାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Eczema,"ଏକ ଡାକ୍ତରୀ ଅବସ୍ଥା ଶୁଖିଲା ଚର୍ମ, କୁଞ୍ଚନ, ଲାଲ୍_ବ୍ରୋନିଶ୍_ଗ୍ରେ_ ପ୍ୟାଚ୍ ଦ୍ୱାରା ବର୍ଣ୍ଣିତ |"
Fibromyalgia (Acute),ଫାଇବ୍ରୋମିଆଲଜିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Fibromyalgia (Chronic),ଫାଇବ୍ରୋମିଆଲଜିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Fibromyalgia (Mild),ଫାଇବ୍ରୋମିଆଲଜିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Fibromyalgia (Severe),ଫାଇବ୍ରୋମିଆଲଜିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Fibromyalgia (Stage 1),ଫାଇବ୍ରୋମିଆଲଜିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Fibromyalgia,"ବ୍ୟାପକ ଚିକିତ୍ସା, ଥକ୍କା, ଜ୍ଞାନଗତ_ ଅସୁବିଧା ଦ୍ୱାରା ବର୍ଣ୍ଣିତ ଏକ ଚିକିତ୍ସା ଅବସ୍ଥା |"
Filariasis,ତାମିଲନାଡୁ / ଟ୍ରପିକାଲ୍ ଅଞ୍ଚଳରେ ସାଧାରଣ ଅବସ୍ଥା | ଫିଲାରିଆସିସ୍ ଠିକ୍ ସମୟରେ ଯତ୍ନ ଆବଶ୍ୟକ କରେ |
Food Poisoning (Acute),ଖାଦ୍ୟ ବିଷର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Food Poisoning (Chronic),ଖାଦ୍ୟ ବିଷର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Food Poisoning (Mild),ଖାଦ୍ୟ ବିଷର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Food Poisoning (Severe),ଖାଦ୍ୟ ବିଷର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Food Poisoning (Stage 1),ଖାଦ୍ୟ ବିଷର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Food Poisoning,"ବାନ୍ତି, ବାନ୍ତି, ଜଳୀୟ_ arr ାଡ଼ା ଦ୍ୱାରା ବର୍ଣ୍ଣିତ ଏକ ଚିକିତ୍ସା ଅବସ୍ଥା |"
Fungal infection (Acute),ଫଙ୍ଗଲ୍ ସଂକ୍ରମଣର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Fungal infection (Chronic),ଫଙ୍ଗଲ୍ ସଂକ୍ରମଣର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Fungal infection (Mild),ଫଙ୍ଗଲ୍ ସଂକ୍ରମଣର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Fungal infection (Severe),ଫଙ୍ଗଲ୍ ସଂକ୍ରମଣର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Fungal infection (Stage 1),ଫଙ୍ଗଲ୍ ସଂକ୍ରମଣର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Fungal infection,"ମଣିଷମାନଙ୍କଠାରେ, ଫଙ୍ଗଲ୍ ସଂକ୍ରମଣ ହୁଏ ଯେତେବେଳେ ଏକ ଆକ୍ରମଣକାରୀ ଫଙ୍ଗସ୍ ଶରୀରର ଏକ ସ୍ଥାନ ନେଇଥାଏ ଏବଂ ପ୍ରତିରକ୍ଷା ପ୍ରଣାଳୀ ସମ୍ଭାଳିବା ପାଇଁ ଅତ୍ୟଧିକ ହୋଇଥାଏ | କବକ ବାୟୁ, ମୃତ୍ତିକା, ଜଳ ଏବଂ ଉଦ୍ଭିଦରେ ରହିପାରେ | କିଛି ଫଙ୍ଗ ମଧ୍ୟ ଅଛି ଯାହା ମାନବ ଶରୀରରେ ପ୍ରାକୃତିକ ଭାବରେ ବାସ କରେ | ଅନେକ ମାଇକ୍ରୋବସ୍ ପରି, ସେଠାରେ ସାହାଯ୍ୟକାରୀ କବକ ଏବଂ କ୍ଷତିକାରକ କବକ ଅଛି |"
GERD (Acute),GERD ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
GERD (Chronic),GERD ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
