Disease,Description
Ebola (Severe),எபோலாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Ebola (Stage 1),எபோலாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Ebola,"காய்ச்சல், கடுமையான_தலைவலி, மூட்டு_மற்றும்_தசை_வலி ஆகியவற்றால் வகைப்படுத்தப்படும் மருத்துவ நிலை."
Eczema (Acute),எக்ஸிமாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Eczema (Chronic),எக்ஸிமாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Eczema (Mild),எக்ஸிமாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Eczema (Severe),எக்ஸிமாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Eczema (Stage 1),எக்ஸிமாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Eczema,"வறண்ட_தோல், அரிப்பு, சிவப்பு முதல் பழுப்பு_சாம்பல்"
Fibromyalgia (Acute),ஃபைப்ரோமியால்ஜியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Fibromyalgia (Chronic),ஃபைப்ரோமியால்ஜியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Fibromyalgia (Mild),ஃபைப்ரோமியால்ஜியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Fibromyalgia (Severe),ஃபைப்ரோமியால்ஜியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Fibromyalgia (Stage 1),ஃபைப்ரோமியால்ஜியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Fibromyalgia,"பரவலான_வலி, சோர்வு, அறிவாற்றல்_சிக்கல்கள் ஆகியவற்றால் வகைப்படுத்தப்படும் மருத்துவ நிலை."
Filariasis,தமிழ்நாடு/வெப்ப மண்டல பகுதிகளில் பொதுவான நிலை. ஃபைலேரியாசிஸுக்கு சரியான நேரத்தில் கவனிப்பு தேவைப்படுகிறது.
Food Poisoning (Acute),உணவு விஷத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Food Poisoning (Chronic),உணவு விஷத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Food Poisoning (Mild),உணவு விஷத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Food Poisoning (Severe),உணவு விஷத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Food Poisoning (Stage 1),உணவு விஷத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Food Poisoning,"குமட்டல், வாந்தி, நீர்_வயிற்றுப்போக்கு ஆகியவற்றால் வகைப்படுத்தப்படும் ஒரு மருத்துவ நிலை."
Fungal infection (Acute),பூஞ்சை தொற்று ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Fungal infection (Chronic),பூஞ்சை தொற்று ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Fungal infection (Mild),பூஞ்சை தொற்று ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Fungal infection (Severe),பூஞ்சை தொற்று ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Fungal infection (Stage 1),பூஞ்சை தொற்று ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Fungal infection,"மனிதர்களில், ஊடுருவும் பூஞ்சை உடலின் ஒரு பகுதியை ஆக்கிரமித்து, நோயெதிர்ப்பு அமைப்பு கையாள முடியாத அளவுக்கு அதிகமாக இருக்கும்போது பூஞ்சை தொற்று ஏற்படுகிறது. பூஞ்சைகள் காற்று, மண், நீர் மற்றும் தாவரங்களில் வாழக்கூடியவை. மனித உடலில் இயற்கையாக வாழும் சில பூஞ்சைகளும் உள்ளன. பல நுண்ணுயிரிகளைப் போலவே, பயனுள்ள பூஞ்சைகளும் தீங்கு விளைவிக்கும் பூஞ்சைகளும் உள்ளன."
GERD (Acute),GERD இன் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
GERD (Chronic),GERD இன் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
GERD (Mild),GERD இன் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
GERD (Severe),GERD இன் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
GERD (Stage 1),GERD இன் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
GERD,"இரைப்பைஉணவுக்குழாய் ரிஃப்ளக்ஸ் நோய், அல்லது GERD, உணவுக்குழாய் மற்றும் வயிற்றுக்கு இடையே உள்ள தசை வளையமான குறைந்த உணவுக்குழாய் சுழற்சியை (LES) பாதிக்கும் ஒரு செரிமானக் கோளாறு ஆகும். கர்ப்பிணிப் பெண்கள் உட்பட பலர் நெஞ்செரிச்சல் அல்லது GERD காரணமாக ஏற்படும் அமில அஜீரணத்தால் பாதிக்கப்படுகின்றனர்."
Gallstones (Acute),பித்தப்பைக் கற்களின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Gallstones (Chronic),பித்தப்பைக் கற்களின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Gallstones (Mild),பித்தப்பைக் கற்களின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Gallstones (Severe),பித்தப்பைக் கற்களின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Gallstones (Stage 1),பித்தப்பைக் கற்களின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Gallstones,"திடீர்_வலி_மேல்_வலது_வயிற்றில், திடீர்_வயிற்றின்_மையத்தில்_வலி, முதுகுவலி ஆகியவற்றால் வகைப்படுத்தப்படும் ஒரு மருத்துவ நிலை."
Gastroenteritis (Acute),இரைப்பை குடல் அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Gastroenteritis (Chronic),இரைப்பை குடல் அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Gastroenteritis (Mild),இரைப்பை குடல் அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Gastroenteritis (Severe),இரைப்பை குடல் அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Gastroenteritis (Stage 1),இரைப்பை குடல் அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Gastroenteritis,"இரைப்பை குடல் அழற்சி என்பது செரிமான மண்டலம், குறிப்பாக வயிறு மற்றும் பெரிய மற்றும் சிறு குடல்களில் ஏற்படும் அழற்சி ஆகும். வைரஸ் மற்றும் பாக்டீரியா இரைப்பை குடல் அழற்சி என்பது வயிற்றுப்போக்கு, வயிற்றுப் பிடிப்புகள், குமட்டல் மற்றும் வாந்தி ஆகியவற்றின் அறிகுறிகளுடன் தொடர்புடைய குடல் தொற்று ஆகும்."
Glaucoma (Acute),கிளௌகோமாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Glaucoma (Chronic),கிளௌகோமாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Glaucoma (Mild),கிளௌகோமாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Glaucoma (Severe),கிளௌகோமாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Glaucoma (Stage 1),கிளௌகோமாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Glaucoma,"குருட்டுப் புள்ளிகள், சுரங்கப்_பார்வை, கடுமையான_தலைவலி ஆகியவற்றால் வகைப்படுத்தப்படும் மருத்துவ நிலை."
Gout (Acute),கீல்வாதத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Gout (Chronic),கீல்வாதத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Gout (Mild),கீல்வாதத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Gout (Severe),கீல்வாதத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Gout (Stage 1),கீல்வாதத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Gout,"தீவிர_மூட்டு_வலி, நீடித்த_அசெளகரியம், வீக்கம்_மற்றும்_சிவத்தல் போன்றவற்றால் வகைப்படுத்தப்படும் மருத்துவ நிலை."
Heart attack (Acute),மாரடைப்பின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Heart attack (Chronic),மாரடைப்பின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Heart attack (Mild),மாரடைப்பின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Heart attack (Severe),மாரடைப்பின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Heart attack (Stage 1),மாரடைப்பின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Heart attack,இரத்த விநியோக இழப்பு காரணமாக இதய தசையின் இறப்பு. இரத்த விநியோக இழப்பு பொதுவாக இதய தசைக்கு இரத்தத்தை வழங்கும் தமனிகளில் ஒன்றான கரோனரி தமனியின் முழுமையான அடைப்பால் ஏற்படுகிறது.
Heat Stroke,தமிழ்நாடு/வெப்ப மண்டல பகுதிகளில் பொதுவான நிலை. வெப்ப பக்கவாதம் சரியான நேரத்தில் கவனிப்பு தேவைப்படுகிறது.
Hepatitis B (Acute),ஹெபடைடிஸ் பியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவைப்படுகிறது.
Hepatitis B (Chronic),ஹெபடைடிஸ் பியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவைப்படுகிறது.
Hepatitis B (Mild),ஹெபடைடிஸ் பியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவைப்படுகிறது.
Hepatitis B (Severe),ஹெபடைடிஸ் பியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவைப்படுகிறது.
Hepatitis B (Stage 1),ஹெபடைடிஸ் பியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவைப்படுகிறது.
Hepatitis B,"ஹெபடைடிஸ் பி என்பது உங்கள் கல்லீரலின் தொற்று. இது உறுப்பில் வடுக்கள், கல்லீரல் செயலிழப்பு மற்றும் புற்றுநோயை ஏற்படுத்தும். இதற்கு சிகிச்சையளிக்கப்படாவிட்டால், அது உயிருக்கு ஆபத்தானது. ஹெபடைடிஸ் பி வைரஸ் உள்ள ஒருவரின் இரத்தம், திறந்த புண்கள் அல்லது உடல் திரவங்களுடன் மக்கள் தொடர்பு கொள்ளும்போது இது பரவுகிறது."
Hepatitis C (Acute),ஹெபடைடிஸ் சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவைப்படுகிறது.
Hepatitis C (Chronic),ஹெபடைடிஸ் சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவைப்படுகிறது.
Hepatitis C (Mild),ஹெபடைடிஸ் சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவைப்படுகிறது.
Hepatitis C (Severe),ஹெபடைடிஸ் சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவைப்படுகிறது.
Hepatitis C (Stage 1),ஹெபடைடிஸ் சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவைப்படுகிறது.
Hepatitis C,"ஹெபடைடிஸ் சி வைரஸ் (HCV) காரணமாக கல்லீரல் அழற்சி, இது பொதுவாக இரத்தமாற்றம் (அரிதான), ஹீமோடையாலிசிஸ் மற்றும் ஊசி குச்சிகள் மூலம் பரவுகிறது. ஹெபடைடிஸ் சி கல்லீரலில் ஏற்படும் சேதம் சிரோசிஸ் மற்றும் அதன் சிக்கல்கள் மற்றும் புற்றுநோய்க்கு வழிவகுக்கும்."
Hepatitis D (Acute),ஹெபடைடிஸ் டியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவைப்படுகிறது.
Hepatitis D (Chronic),ஹெபடைடிஸ் டியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவைப்படுகிறது.
Hepatitis D (Mild),ஹெபடைடிஸ் டியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவைப்படுகிறது.
Hepatitis D (Severe),ஹெபடைடிஸ் டியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவைப்படுகிறது.
Hepatitis D (Stage 1),ஹெபடைடிஸ் டியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவைப்படுகிறது.
Hepatitis D,"ஹெபடைடிஸ் டி, ஹெபடைடிஸ் டெல்டா வைரஸ் என்றும் அழைக்கப்படுகிறது, இது கல்லீரல் வீக்கத்தை ஏற்படுத்தும் ஒரு தொற்று ஆகும். இந்த வீக்கம் கல்லீரல் செயல்பாட்டை பாதிக்கலாம் மற்றும் கல்லீரல் வடு மற்றும் புற்றுநோய் உள்ளிட்ட நீண்ட கால கல்லீரல் பிரச்சனைகளை ஏற்படுத்தும். இந்த நிலை ஹெபடைடிஸ் டி வைரஸால் (HDV) ஏற்படுகிறது."
Hepatitis E (Acute),ஹெபடைடிஸ் E. இன் குறிப்பிட்ட மாறுபாட்டிற்கு மருத்துவ கவனிப்பு தேவைப்படுகிறது.
Hepatitis E (Chronic),ஹெபடைடிஸ் E. இன் குறிப்பிட்ட மாறுபாட்டிற்கு மருத்துவ கவனிப்பு தேவைப்படுகிறது.
Hepatitis E (Mild),ஹெபடைடிஸ் E. இன் குறிப்பிட்ட மாறுபாட்டிற்கு மருத்துவ கவனிப்பு தேவைப்படுகிறது.
Hepatitis E (Severe),ஹெபடைடிஸ் E. இன் குறிப்பிட்ட மாறுபாட்டிற்கு மருத்துவ கவனிப்பு தேவைப்படுகிறது.
Hepatitis E (Stage 1),ஹெபடைடிஸ் E. இன் குறிப்பிட்ட மாறுபாட்டிற்கு மருத்துவ கவனிப்பு தேவைப்படுகிறது.
Hepatitis E,ஹெபடைடிஸ் ஈ வைரஸ் (HEV) தொற்று காரணமாக ஏற்படும் கல்லீரல் அழற்சியின் ஒரு அரிய வடிவம். இது பாதிக்கப்பட்ட நபரால் கையாளப்படும் உணவு அல்லது பானங்கள் மூலமாகவோ அல்லது மலம் நீரில் சேரக்கூடிய பகுதிகளில் பாதிக்கப்பட்ட நீர் விநியோகங்கள் மூலமாகவோ பரவுகிறது. ஹெபடைடிஸ் ஈ நாள்பட்ட கல்லீரல் நோயை ஏற்படுத்தாது.
Hernia (Acute),ஹெர்னியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hernia (Chronic),ஹெர்னியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hernia (Mild),ஹெர்னியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hernia (Severe),ஹெர்னியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hernia (Stage 1),ஹெர்னியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hernia,"வீக்கம்_அல்லது_கட்டி, வலி_அல்லது_அசெளகரியம், பலவீனம்_அல்லது_அழுத்தம் ஆகியவற்றால் வகைப்படுத்தப்படும் மருத்துவ நிலை."
Hypertension  (Acute),உயர் இரத்த அழுத்தத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypertension  (Chronic),உயர் இரத்த அழுத்தத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypertension  (Mild),உயர் இரத்த அழுத்தத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypertension  (Severe),உயர் இரத்த அழுத்தத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypertension  (Stage 1),உயர் இரத்த அழுத்தத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypertension (Acute),உயர் இரத்த அழுத்தத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypertension (Chronic),உயர் இரத்த அழுத்தத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypertension (High BP) (Acute),உயர் இரத்த அழுத்தத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypertension (High BP) (Chronic),உயர் இரத்த அழுத்தத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypertension (High BP) (Mild),உயர் இரத்த அழுத்தத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypertension (High BP) (Severe),உயர் இரத்த அழுத்தத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypertension (High BP) (Stage 1),உயர் இரத்த அழுத்தத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypertension (High BP),"கடுமையான_தலைவலி, மூக்கடைப்பு, சோர்வு ஆகியவற்றால் வகைப்படுத்தப்படும் மருத்துவ நிலை."
Hypertension (Mild),உயர் இரத்த அழுத்தத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypertension (Severe),உயர் இரத்த அழுத்தத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypertension (Stage 1),உயர் இரத்த அழுத்தத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypertension ,"உயர் இரத்த அழுத்தம் (HBP) என்றும் அழைக்கப்படும் உயர் இரத்த அழுத்தம் (HTN அல்லது HT) என்பது ஒரு நீண்ட கால மருத்துவ நிலையாகும், இதில் தமனிகளில் இரத்த அழுத்தம் தொடர்ந்து உயர்த்தப்படுகிறது. உயர் இரத்த அழுத்தம் பொதுவாக அறிகுறிகளை ஏற்படுத்தாது."
Hypertension,"உயர் இரத்த அழுத்தம் (HBP) என்றும் அழைக்கப்படும் உயர் இரத்த அழுத்தம் (HTN அல்லது HT) என்பது ஒரு நீண்ட கால மருத்துவ நிலையாகும், இதில் தமனிகளில் இரத்த அழுத்தம் தொடர்ந்து உயர்த்தப்படுகிறது. உயர் இரத்த அழுத்தம் பொதுவாக அறிகுறிகளை ஏற்படுத்தாது."
Hyperthyroidism (Acute),ஹைப்பர் தைராய்டிசத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hyperthyroidism (Chronic),ஹைப்பர் தைராய்டிசத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hyperthyroidism (Mild),ஹைப்பர் தைராய்டிசத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hyperthyroidism (Severe),ஹைப்பர் தைராய்டிசத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hyperthyroidism (Stage 1),ஹைப்பர் தைராய்டிசத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hyperthyroidism,"உங்கள் தைராய்டு சுரப்பி தைராக்ஸின் ஹார்மோனை அதிகமாக உற்பத்தி செய்யும் போது ஹைப்பர் தைராய்டிசம் (அதிக செயலில் உள்ள தைராய்டு) ஏற்படுகிறது. ஹைப்பர் தைராய்டிசம் உங்கள் உடலின் வளர்சிதை மாற்றத்தை துரிதப்படுத்தலாம், இதனால் எதிர்பாராத எடை இழப்பு மற்றும் விரைவான அல்லது ஒழுங்கற்ற இதயத் துடிப்பு ஏற்படுகிறது."
Hypoglycemia (Acute),இரத்தச் சர்க்கரைக் குறைவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypoglycemia (Chronic),இரத்தச் சர்க்கரைக் குறைவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypoglycemia (Mild),இரத்தச் சர்க்கரைக் குறைவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypoglycemia (Severe),இரத்தச் சர்க்கரைக் குறைவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypoglycemia (Stage 1),இரத்தச் சர்க்கரைக் குறைவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypoglycemia,இரத்தச் சர்க்கரைக் குறைவு என்பது உங்கள் இரத்த சர்க்கரை (குளுக்கோஸ்) அளவு இயல்பை விட குறைவாக இருக்கும் ஒரு நிலை. குளுக்கோஸ் உங்கள் உடலின் முக்கிய ஆற்றல் மூலமாகும். இரத்தச் சர்க்கரைக் குறைவு பெரும்பாலும் நீரிழிவு சிகிச்சையுடன் தொடர்புடையது. ஆனால் மற்ற மருந்துகள் மற்றும் பல்வேறு நிலைமைகள் - பல அரிதானவை - நீரிழிவு இல்லாதவர்களுக்கு இரத்தச் சர்க்கரைக் குறைவு ஏற்படலாம்.
Hypothyroidism (Acute),ஹைப்போ தைராய்டிசத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypothyroidism (Chronic),ஹைப்போ தைராய்டிசத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypothyroidism (Mild),ஹைப்போ தைராய்டிசத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypothyroidism (Severe),ஹைப்போ தைராய்டிசத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypothyroidism (Stage 1),ஹைப்போ தைராய்டிசத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Hypothyroidism,"ஹைப்போ தைராய்டிசம், செயலற்ற தைராய்டு அல்லது குறைந்த தைராய்டு என்றும் அழைக்கப்படுகிறது, இது எண்டோகிரைன் அமைப்பின் கோளாறு ஆகும், இதில் தைராய்டு சுரப்பி போதுமான தைராய்டு ஹார்மோனை உற்பத்தி செய்யாது."
Impetigo (Acute),இம்பெடிகோவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Impetigo (Chronic),இம்பெடிகோவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Impetigo (Mild),இம்பெடிகோவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Impetigo (Severe),இம்பெடிகோவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Impetigo (Stage 1),இம்பெடிகோவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Impetigo,"இம்பெடிகோ (im-puh-TIE-go) என்பது ஒரு பொதுவான மற்றும் மிகவும் தொற்றக்கூடிய தோல் தொற்று ஆகும், இது முக்கியமாக குழந்தைகளையும் குழந்தைகளையும் பாதிக்கிறது. இம்பெடிகோ பொதுவாக முகத்தில், குறிப்பாக குழந்தையின் மூக்கு மற்றும் வாயைச் சுற்றி, கைகள் மற்றும் கால்களில் சிவப்புப் புண்களாகத் தோன்றும். புண்கள் வெடித்து தேன் நிற மேலோடு உருவாகின்றன."
Influenza (Acute),இன்ஃப்ளூயன்ஸாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Influenza (Chronic),இன்ஃப்ளூயன்ஸாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Influenza (Mild),இன்ஃப்ளூயன்ஸாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Influenza (Severe),இன்ஃப்ளூயன்ஸாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Influenza (Stage 1),இன்ஃப்ளூயன்ஸாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Influenza,"காய்ச்சல், குளிர், தசை_வலி ஆகியவற்றால் வகைப்படுத்தப்படும் மருத்துவ நிலை."
Insomnia (Acute),இன்சோம்னியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Insomnia (Chronic),இன்சோம்னியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Insomnia (Mild),இன்சோம்னியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Insomnia (Severe),இன்சோம்னியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Insomnia (Stage 1),இன்சோம்னியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Insomnia,ஒரு மருத்துவ நிலை.
Iron Deficiency Anemia,தமிழ்நாடு/வெப்ப மண்டல பகுதிகளில் பொதுவான நிலை. இரும்புச்சத்து குறைபாடு இரத்த சோகைக்கு சரியான நேரத்தில் கவனிப்பு தேவைப்படுகிறது.
Jaundice (Acute),மஞ்சள் காமாலையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Jaundice (Chronic),மஞ்சள் காமாலையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
