Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
Fungal Kidney Syndrome,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Brain Disorder,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Mild Eye Disease,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Severe Stomach Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Allergic Eye Dysfunction,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Fungal Bone Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Intestine Disease,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Traumatic Lung Damage,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Hereditary Intestine Disorder,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Mild Nerve Congestion,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Mild Kidney Congestion,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Traumatic Thyroid Tumor,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Metabolic Heart Failure,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Allergic Bone Disorder,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Metabolic Heart Disorder,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Viral Brain Pain,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Allergic Blood Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Bone Disease,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Intestine Failure,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Mild Blood Dysfunction,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Mild Skin Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Viral Stomach Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Fungal Nerve Calculus,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Bacterial Joint Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Traumatic Throat Congestion,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Joint Tumor,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Acute Kidney Disorder,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Throat Syndrome,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Blood Dysfunction,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Autoimmune Lung Disease,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Allergic Lung Disease,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Lung Disorder,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Autoimmune Kidney Tumor,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Lung Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Metabolic Liver Dysfunction,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Allergic Stomach Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Severe Kidney Disease,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Hereditary Heart Dysfunction,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Autoimmune Nerve Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Viral Kidney Calculus,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Nerve Disease,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Lung Pain,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Mild Intestine Tumor,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Idiopathic Ear Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Idiopathic Brain Tumor,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Muscle Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Stomach Syndrome,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Heart Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Skin Failure,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Kidney Disease,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Throat Disease,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Viral Liver Pain,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Idiopathic Joint Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Acute Bone Dysfunction,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Viral Skin Syndrome,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Autoimmune Intestine Damage,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Traumatic Lung Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Bacterial Thyroid Syndrome,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Severe Lung Syndrome,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Autoimmune Throat Syndrome,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Muscle Damage,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Fungal Muscle Congestion,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Acute Eye Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Idiopathic Skin Dysfunction,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Stomach Congestion,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Severe Nerve Tumor,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Autoimmune Skin Disease,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Autoimmune Eye Failure,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Allergic Blood Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Traumatic Brain Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Joint Congestion,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Intestine Dysfunction,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Severe Bone Damage,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Acute Kidney Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Idiopathic Intestine Failure,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Fungal Thyroid Dysfunction,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Autoimmune Skin Dysfunction,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Bacterial Ear Dysfunction,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Viral Ear Congestion,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Allergic Liver Failure,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Skin Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Bacterial Lung Failure,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Severe Intestine Syndrome,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Lung Pain,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Idiopathic Joint Failure,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Throat Calculus,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Mild Blood Failure,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Fungal Brain Calculus,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Mild Joint Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Allergic Eye Pain,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Severe Skin Disorder,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Idiopathic Blood Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Bacterial Intestine Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Hereditary Ear Congestion,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Bacterial Intestine Dysfunction,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Septic Joint Disease,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Acute Joint Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Bacterial Skin Disease,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Bacterial Muscle Syndrome,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Mild Bone Failure,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Mild Joint Infection,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Bacterial Throat Congestion,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Traumatic Skin Failure,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Severe Muscle Tumor,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Severe Joint Congestion,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Autoimmune Muscle Disorder,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Hereditary Skin Degeneration,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Allergic Brain Disease,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Traumatic Eye Tumor,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Bacterial Throat Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Traumatic Kidney Tumor,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Chronic Eye Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Viral Liver Dysfunction,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Metabolic Lung Syndrome,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Metabolic Stomach Damage,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Viral Ear Inflammation,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Mild Stomach Tumor,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
