Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
Viral Intestine Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Liver Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Eye Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Intestine Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Lung Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Throat Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Joint Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Brain Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Skin Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Eye Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Liver Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Kidney Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Liver Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Kidney Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Lung Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Nerve Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Liver Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Intestine Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Skin Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Muscle Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Blood Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Throat Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Bone Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Bone Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Stomach Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Skin Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Stomach Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Liver Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Ear Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Skin Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Skin Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Blood Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Stomach Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Thyroid Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Thyroid Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Liver Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Brain Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Throat Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Kidney Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Heart Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Thyroid Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Bone Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Ear Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Bone Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Nerve Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Muscle Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Joint Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Kidney Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Thyroid Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Bone Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Heart Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Kidney Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Liver Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Ear Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Stomach Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Lung Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Lung Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Ear Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Lung Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Intestine Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Eye Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Kidney Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Ear Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Nerve Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Nerve Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Throat Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Skin Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Joint Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Kidney Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Brain Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Eye Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Stomach Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Eye Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Bone Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Intestine Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Lung Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Intestine Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Nerve Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Kidney Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Thyroid Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Heart Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Bone Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Heart Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Brain Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Blood Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Bone Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Intestine Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Blood Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Skin Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Stomach Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Nerve Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Joint Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Throat Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Joint Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Kidney Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Throat Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Blood Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Lung Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Lung Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Lung Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Kidney Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Lung Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Liver Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Stomach Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Kidney Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Heart Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Nerve Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Kidney Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Nerve Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Lung Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Intestine Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Ear Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Brain Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Muscle Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Stomach Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Heart Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Skin Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Kidney Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Throat Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Liver Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Joint Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Bone Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Skin Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Intestine Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Lung Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Thyroid Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Lung Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Throat Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Muscle Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Muscle Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Eye Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Skin Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Stomach Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Nerve Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Skin Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Eye Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Blood Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Brain Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Joint Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Intestine Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Bone Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Kidney Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Intestine Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Thyroid Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Skin Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Ear Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Ear Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Liver Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Skin Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Lung Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Intestine Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Lung Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Joint Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Throat Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Blood Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Brain Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Joint Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Eye Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Skin Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Blood Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Intestine Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Ear Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Intestine Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Joint Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Joint Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Skin Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Muscle Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Bone Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Joint Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Throat Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Skin Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Muscle Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Joint Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Muscle Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Skin Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Brain Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Eye Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Throat Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Kidney Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Eye Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Liver Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Lung Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Stomach Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Ear Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Stomach Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Stomach Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Nerve Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Stomach Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Brain Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Lung Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Throat Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Heart Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Brain Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Liver Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Skin Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Kidney Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Liver Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Nerve Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Throat Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Eye Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Brain Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Thyroid Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Liver Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Nerve Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Blood Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Throat Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Joint Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Intestine Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Skin Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Joint Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Ear Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Bone Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Joint Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Heart Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Eye Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Throat Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Intestine Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Blood Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Blood Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Ear Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Joint Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Brain Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Kidney Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Nerve Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Kidney Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Kidney Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Nerve Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Heart Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Muscle Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Joint Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Eye Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Intestine Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Joint Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Kidney Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Nerve Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Nerve Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Lung Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Thyroid Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Thyroid Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Blood Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Kidney Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Kidney Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Skin Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Skin Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Thyroid Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Heart Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Lung Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Intestine Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Brain Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Muscle Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Joint Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Intestine Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Stomach Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Kidney Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Liver Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Ear Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Eye Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Throat Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Bone Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Muscle Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Intestine Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Muscle Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Liver Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Joint Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Muscle Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Kidney Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Joint Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Heart Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Muscle Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Stomach Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Thyroid Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Kidney Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Ear Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Blood Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Kidney Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Nerve Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Liver Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Liver Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Bone Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Nerve Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Heart Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
