Disease,Description
Measles (Acute),"A specific variant of Measles. Requires medical attention."
Measles (Chronic),"A specific variant of Measles. Requires medical attention."
Measles (Mild),"A specific variant of Measles. Requires medical attention."
Measles (Severe),"A specific variant of Measles. Requires medical attention."
Measles (Stage 1),"A specific variant of Measles. Requires medical attention."
Measles,"A medical condition characterized by fever, dry_cough, runny_nose."
Melanoma (Acute),"A specific variant of Melanoma. Requires medical attention."
Melanoma (Chronic),"A specific variant of Melanoma. Requires medical attention."
Melanoma (Mild),"A specific variant of Melanoma. Requires medical attention."
Melanoma (Severe),"A specific variant of Melanoma. Requires medical attention."
Melanoma (Stage 1),"A specific variant of Melanoma. Requires medical attention."
Melanoma,"A medical condition characterized by unusual_moles, change_in_existing_mole, dark_lesions."
Migraine (Acute),"A specific variant of Migraine. Requires medical attention."
Migraine (Chronic),"A specific variant of Migraine. Requires medical attention."
Migraine (Mild),"A specific variant of Migraine. Requires medical attention."
Migraine (Severe),"A specific variant of Migraine. Requires medical attention."
Migraine (Stage 1),"A specific variant of Migraine. Requires medical attention."
Migraine,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities."
Mumps (Acute),"A specific variant of Mumps. Requires medical attention."
Mumps (Chronic),"A specific variant of Mumps. Requires medical attention."
Mumps (Mild),"A specific variant of Mumps. Requires medical attention."
Mumps (Severe),"A specific variant of Mumps. Requires medical attention."
Mumps (Stage 1),"A specific variant of Mumps. Requires medical attention."
Mumps,"A medical condition characterized by swollen_salivary_glands, pain_on_chewing, fever."
Osteoarthristis (Acute),"A specific variant of Osteoarthristis. Requires medical attention."
Osteoarthristis (Chronic),"A specific variant of Osteoarthristis. Requires medical attention."
Osteoarthristis (Mild),"A specific variant of Osteoarthristis. Requires medical attention."
Osteoarthristis (Severe),"A specific variant of Osteoarthristis. Requires medical attention."
Osteoarthristis (Stage 1),"A specific variant of Osteoarthristis. Requires medical attention."
Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
Osteoporosis (Acute),"A specific variant of Osteoporosis. Requires medical attention."
Osteoporosis (Chronic),"A specific variant of Osteoporosis. Requires medical attention."
Osteoporosis (Mild),"A specific variant of Osteoporosis. Requires medical attention."
Osteoporosis (Severe),"A specific variant of Osteoporosis. Requires medical attention."
Osteoporosis (Stage 1),"A specific variant of Osteoporosis. Requires medical attention."
Osteoporosis,"A medical condition characterized by back_pain, loss_of_height, stooped_posture."
Otitis Media (Ear Infection),"A medical condition characterized by ear_pain, trouble_sleeping, trouble_hearing."
Pancreatitis (Acute),"A specific variant of Pancreatitis. Requires medical attention."
Pancreatitis (Chronic),"A specific variant of Pancreatitis. Requires medical attention."
Pancreatitis (Mild),"A specific variant of Pancreatitis. Requires medical attention."
Pancreatitis (Severe),"A specific variant of Pancreatitis. Requires medical attention."
Pancreatitis (Stage 1),"A specific variant of Pancreatitis. Requires medical attention."
Pancreatitis,"A medical condition characterized by upper_abdominal_pain, abdominal_pain_radiates_to_back, abdominal_pain_worsens_after_eating."
Paralysis (brain hemorrhage) (Acute),"A specific variant of Paralysis. Requires medical attention."
Paralysis (brain hemorrhage) (Chronic),"A specific variant of Paralysis. Requires medical attention."
Paralysis (brain hemorrhage) (Mild),"A specific variant of Paralysis. Requires medical attention."
Paralysis (brain hemorrhage) (Severe),"A specific variant of Paralysis. Requires medical attention."
Paralysis (brain hemorrhage) (Stage 1),"A specific variant of Paralysis. Requires medical attention."
Paralysis (brain hemorrhage),"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body."
Peptic ulcer diseae (Acute),"A specific variant of Peptic ulcer diseae. Requires medical attention."
Peptic ulcer diseae (Chronic),"A specific variant of Peptic ulcer diseae. Requires medical attention."
Peptic ulcer diseae (Mild),"A specific variant of Peptic ulcer diseae. Requires medical attention."
Peptic ulcer diseae (Severe),"A specific variant of Peptic ulcer diseae. Requires medical attention."
Peptic ulcer diseae (Stage 1),"A specific variant of Peptic ulcer diseae. Requires medical attention."
Peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
Pneumonia (Acute),"A specific variant of Pneumonia. Requires medical attention."
Pneumonia (Chronic),"A specific variant of Pneumonia. Requires medical attention."
Pneumonia (Mild),"A specific variant of Pneumonia. Requires medical attention."
Pneumonia (Severe),"A specific variant of Pneumonia. Requires medical attention."
Pneumonia (Stage 1),"A specific variant of Pneumonia. Requires medical attention."
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
Psoriasis (Acute),"A specific variant of Psoriasis. Requires medical attention."
Psoriasis (Chronic),"A specific variant of Psoriasis. Requires medical attention."
Psoriasis (Mild),"A specific variant of Psoriasis. Requires medical attention."
Psoriasis (Severe),"A specific variant of Psoriasis. Requires medical attention."
Psoriasis (Stage 1),"A specific variant of Psoriasis. Requires medical attention."
Psoriasis,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
Rabies (Acute),"A specific variant of Rabies. Requires medical attention."
Rabies (Chronic),"A specific variant of Rabies. Requires medical attention."
Rabies (Mild),"A specific variant of Rabies. Requires medical attention."
Rabies (Severe),"A specific variant of Rabies. Requires medical attention."
Rabies (Stage 1),"A specific variant of Rabies. Requires medical attention."
Rabies,"A medical condition characterized by fever, headache, nausea."
Ringworm (Acute),"A specific variant of Ringworm. Requires medical attention."
Ringworm (Chronic),"A specific variant of Ringworm. Requires medical attention."
Ringworm (Mild),"A specific variant of Ringworm. Requires medical attention."
Ringworm (Severe),"A specific variant of Ringworm. Requires medical attention."
Ringworm (Stage 1),"A specific variant of Ringworm. Requires medical attention."
Ringworm,"A medical condition characterized by scaly_ring_shaped_area, itchiness, red_scaly_cracked_skin."
Rosacea (Acute),"A specific variant of Rosacea. Requires medical attention."
Rosacea (Chronic),"A specific variant of Rosacea. Requires medical attention."
Rosacea (Mild),"A specific variant of Rosacea. Requires medical attention."
Rosacea (Severe),"A specific variant of Rosacea. Requires medical attention."
Rosacea (Stage 1),"A specific variant of Rosacea. Requires medical attention."
Rosacea,"A medical condition characterized by facial_redness, swollen_red_bumps, eye_problems."
Rubella (Acute),"A specific variant of Rubella. Requires medical attention."
Rubella (Chronic),"A specific variant of Rubella. Requires medical attention."
Rubella (Mild),"A specific variant of Rubella. Requires medical attention."
Rubella (Severe),"A specific variant of Rubella. Requires medical attention."
Rubella (Stage 1),"A specific variant of Rubella. Requires medical attention."
Rubella,"A medical condition characterized by mild_fever, headache, stuffy_or_runny_nose."
Scabies (Acute),"A specific variant of Scabies. Requires medical attention."
Scabies (Chronic),"A specific variant of Scabies. Requires medical attention."
Scabies (Mild),"A specific variant of Scabies. Requires medical attention."
Scabies (Severe),"A specific variant of Scabies. Requires medical attention."
Scabies (Stage 1),"A specific variant of Scabies. Requires medical attention."
Scabies,"A medical condition characterized by itching, thin_irregular_burrow_tracks, blisters."
Scrub Typhus,"Common condition in Tamil Nadu/Tropical regions. Scrub Typhus requires timely care."
Sinusitis,"A medical condition characterized by thick_yellow_or_green_discharge, nasal_blockage, pain_tenderness_swelling_around_eyes_cheeks."
Stroke (Acute),"A specific variant of Stroke. Requires medical attention."
Stroke (Chronic),"A specific variant of Stroke. Requires medical attention."
Stroke (Mild),"A specific variant of Stroke. Requires medical attention."
Stroke (Severe),"A specific variant of Stroke. Requires medical attention."
Stroke (Stage 1),"A specific variant of Stroke. Requires medical attention."
Stroke,"A medical condition characterized by sudden_numbness, confusion, trouble_speaking."
Tetanus (Acute),"A specific variant of Tetanus. Requires medical attention."
Tetanus (Chronic),"A specific variant of Tetanus. Requires medical attention."
Tetanus (Mild),"A specific variant of Tetanus. Requires medical attention."
Tetanus (Severe),"A specific variant of Tetanus. Requires medical attention."
Tetanus (Stage 1),"A specific variant of Tetanus. Requires medical attention."
Tetanus,"A medical condition characterized by jaw_cramping, muscle_spasms, painful_muscle_stiffness."
Tonsillitis (Acute),"A specific variant of Tonsillitis. Requires medical attention."
Tonsillitis (Chronic),"A specific variant of Tonsillitis. Requires medical attention."
Tonsillitis (Mild),"A specific variant of Tonsillitis. Requires medical attention."
Tonsillitis (Severe),"A specific variant of Tonsillitis. Requires medical attention."
Tonsillitis (Stage 1),"A specific variant of Tonsillitis. Requires medical attention."
Tonsillitis,"A medical condition characterized by red_swollen_tonsils, white_or_yellow_coating_on_tonsils, sore_throat."
Tuberculosis (Acute),"A specific variant of Tuberculosis. Requires medical attention."
Tuberculosis (Chronic),"A specific variant of Tuberculosis. Requires medical attention."
Tuberculosis (Mild),"A specific variant of Tuberculosis. Requires medical attention."
Tuberculosis (Severe),"A specific variant of Tuberculosis. Requires medical attention."
Tuberculosis (Stage 1),"A specific variant of Tuberculosis. Requires medical attention."
Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
Typhoid (Acute),"A specific variant of Typhoid. Requires medical attention."
Typhoid (Chronic),"A specific variant of Typhoid. Requires medical attention."
Typhoid (Mild),"A specific variant of Typhoid. Requires medical attention."
Typhoid (Severe),"A specific variant of Typhoid. Requires medical attention."
Typhoid (Stage 1),"A specific variant of Typhoid. Requires medical attention."
Typhoid,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe."
Urinary Tract Infection (UTI) (Acute),"A specific variant of Urinary Tract Infection. Requires medical attention."
Urinary Tract Infection (UTI) (Chronic),"A specific variant of Urinary Tract Infection. Requires medical attention."
Urinary Tract Infection (UTI) (Mild),"A specific variant of Urinary Tract Infection. Requires medical attention."
Urinary Tract Infection (UTI) (Severe),"A specific variant of Urinary Tract Infection. Requires medical attention."
Urinary Tract Infection (UTI) (Stage 1),"A specific variant of Urinary Tract Infection. Requires medical attention."
Urinary Tract Infection (UTI),"A medical condition characterized by strong_urge_to_urinate, burning_sensation, cloudy_urine."
Urinary tract infection (Acute),"A specific variant of Urinary tract infection. Requires medical attention."
Urinary tract infection (Chronic),"A specific variant of Urinary tract infection. Requires medical attention."
Urinary tract infection (Mild),"A specific variant of Urinary tract infection. Requires medical attention."
Urinary tract infection (Severe),"A specific variant of Urinary tract infection. Requires medical attention."
Urinary tract infection (Stage 1),"A specific variant of Urinary tract infection. Requires medical attention."
Urinary tract infection,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
Varicose veins (Acute),"A specific variant of Varicose veins. Requires medical attention."
Varicose veins (Chronic),"A specific variant of Varicose veins. Requires medical attention."
Varicose veins (Mild),"A specific variant of Varicose veins. Requires medical attention."
Varicose veins (Severe),"A specific variant of Varicose veins. Requires medical attention."
Varicose veins (Stage 1),"A specific variant of Varicose veins. Requires medical attention."
Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
Viral Fever (Acute),"A specific variant of Viral Fever. Requires medical attention."
Viral Fever (Chronic),"A specific variant of Viral Fever. Requires medical attention."
Viral Fever (Mild),"A specific variant of Viral Fever. Requires medical attention."
Viral Fever (Severe),"A specific variant of Viral Fever. Requires medical attention."
Viral Fever (Stage 1),"A specific variant of Viral Fever. Requires medical attention."
Viral Fever,"A specific variant of Viral Fever. Requires medical attention."
Whooping Cough (Acute),"A specific variant of Whooping Cough. Requires medical attention."
Whooping Cough (Chronic),"A specific variant of Whooping Cough. Requires medical attention."
Whooping Cough (Mild),"A specific variant of Whooping Cough. Requires medical attention."
Whooping Cough (Severe),"A specific variant of Whooping Cough. Requires medical attention."
Whooping Cough (Stage 1),"A specific variant of Whooping Cough. Requires medical attention."
Whooping Cough,"A medical condition characterized by runny_nose, nasal_congestion, red_watery_eyes."
Zika Virus (Acute),"A specific variant of Zika Virus. Requires medical attention."
Zika Virus (Chronic),"A specific variant of Zika Virus. Requires medical attention."
Zika Virus (Mild),"A specific variant of Zika Virus. Requires medical attention."
Zika Virus (Severe),"A specific variant of Zika Virus. Requires medical attention."
Zika Virus (Stage 1),"A specific variant of Zika Virus. Requires medical attention."
Zika Virus,"A medical condition characterized by mild_fever, rash, joint_pain."
hepatitis A (Acute),"A specific variant of hepatitis A. Requires medical attention."
hepatitis A (Chronic),"A specific variant of hepatitis A. Requires medical attention."
hepatitis A (Mild),"A specific variant of hepatitis A. Requires medical attention."
hepatitis A (Severe),"A specific variant of hepatitis A. Requires medical attention."
hepatitis A (Stage 1),"A specific variant of hepatitis A. Requires medical attention."
hepatitis A,"Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function."
