Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
Mild Kidney Dysfunction,consult doctor,rest,drink fluids,medication
Fungal Heart Pain,consult doctor,rest,drink fluids,medication
Chronic Thyroid Pain,consult doctor,rest,drink fluids,medication
Metabolic Bone Tumor,consult doctor,rest,drink fluids,medication
Viral Ear Degeneration,consult doctor,rest,drink fluids,medication
Acute Bone Syndrome,consult doctor,rest,drink fluids,medication
Metabolic Nerve Degeneration,consult doctor,rest,drink fluids,medication
Septic Muscle Disease,consult doctor,rest,drink fluids,medication
Idiopathic Joint Disease,consult doctor,rest,drink fluids,medication
Autoimmune Kidney Dysfunction,consult doctor,rest,drink fluids,medication
Chronic Thyroid Dysfunction,consult doctor,rest,drink fluids,medication
Metabolic Bone Calculus,consult doctor,rest,drink fluids,medication
Fungal Heart Tumor,consult doctor,rest,drink fluids,medication
Metabolic Kidney Infection,consult doctor,rest,drink fluids,medication
Bacterial Liver Inflammation,consult doctor,rest,drink fluids,medication
Mild Ear Congestion,consult doctor,rest,drink fluids,medication
Septic Stomach Degeneration,consult doctor,rest,drink fluids,medication
Metabolic Lung Disorder,consult doctor,rest,drink fluids,medication
Allergic Lung Congestion,consult doctor,rest,drink fluids,medication
Severe Ear Calculus,consult doctor,rest,drink fluids,medication
Septic Lung Failure,consult doctor,rest,drink fluids,medication
Mild Intestine Dysfunction,consult doctor,rest,drink fluids,medication
Traumatic Eye Degeneration,consult doctor,rest,drink fluids,medication
Chronic Kidney Calculus,consult doctor,rest,drink fluids,medication
Severe Ear Dysfunction,consult doctor,rest,drink fluids,medication
Allergic Nerve Inflammation,consult doctor,rest,drink fluids,medication
Allergic Nerve Degeneration,consult doctor,rest,drink fluids,medication
Traumatic Throat Disease,consult doctor,rest,drink fluids,medication
Fungal Skin Pain,consult doctor,rest,drink fluids,medication
Fungal Joint Failure,consult doctor,rest,drink fluids,medication
Fungal Kidney Syndrome,consult doctor,rest,drink fluids,medication
Septic Brain Disorder,consult doctor,rest,drink fluids,medication
Mild Eye Disease,consult doctor,rest,drink fluids,medication
Severe Stomach Inflammation,consult doctor,rest,drink fluids,medication
Allergic Eye Dysfunction,consult doctor,rest,drink fluids,medication
Fungal Bone Degeneration,consult doctor,rest,drink fluids,medication
Septic Intestine Disease,consult doctor,rest,drink fluids,medication
Traumatic Lung Damage,consult doctor,rest,drink fluids,medication
Hereditary Intestine Disorder,consult doctor,rest,drink fluids,medication
Mild Nerve Congestion,consult doctor,rest,drink fluids,medication
Mild Kidney Congestion,consult doctor,rest,drink fluids,medication
Traumatic Thyroid Tumor,consult doctor,rest,drink fluids,medication
Metabolic Heart Failure,consult doctor,rest,drink fluids,medication
Allergic Bone Disorder,consult doctor,rest,drink fluids,medication
Metabolic Heart Disorder,consult doctor,rest,drink fluids,medication
Viral Brain Pain,consult doctor,rest,drink fluids,medication
Allergic Blood Infection,consult doctor,rest,drink fluids,medication
Chronic Bone Disease,consult doctor,rest,drink fluids,medication
Chronic Intestine Failure,consult doctor,rest,drink fluids,medication
Mild Blood Dysfunction,consult doctor,rest,drink fluids,medication
Mild Skin Infection,consult doctor,rest,drink fluids,medication
Viral Stomach Infection,consult doctor,rest,drink fluids,medication
Fungal Nerve Calculus,consult doctor,rest,drink fluids,medication
Bacterial Joint Inflammation,consult doctor,rest,drink fluids,medication
Traumatic Throat Congestion,consult doctor,rest,drink fluids,medication
Septic Joint Tumor,consult doctor,rest,drink fluids,medication
Acute Kidney Disorder,consult doctor,rest,drink fluids,medication
Septic Throat Syndrome,consult doctor,rest,drink fluids,medication
Septic Blood Dysfunction,consult doctor,rest,drink fluids,medication
Autoimmune Lung Disease,consult doctor,rest,drink fluids,medication
Allergic Lung Disease,consult doctor,rest,drink fluids,medication
Septic Lung Disorder,consult doctor,rest,drink fluids,medication
Autoimmune Kidney Tumor,consult doctor,rest,drink fluids,medication
Chronic Lung Inflammation,consult doctor,rest,drink fluids,medication
Metabolic Liver Dysfunction,consult doctor,rest,drink fluids,medication
Allergic Stomach Inflammation,consult doctor,rest,drink fluids,medication
Severe Kidney Disease,consult doctor,rest,drink fluids,medication
Hereditary Heart Dysfunction,consult doctor,rest,drink fluids,medication
Autoimmune Nerve Inflammation,consult doctor,rest,drink fluids,medication
Viral Kidney Calculus,consult doctor,rest,drink fluids,medication
Chronic Nerve Disease,consult doctor,rest,drink fluids,medication
Septic Lung Pain,consult doctor,rest,drink fluids,medication
Mild Intestine Tumor,consult doctor,rest,drink fluids,medication
Idiopathic Ear Degeneration,consult doctor,rest,drink fluids,medication
Idiopathic Brain Tumor,consult doctor,rest,drink fluids,medication
Septic Muscle Inflammation,consult doctor,rest,drink fluids,medication
Chronic Stomach Syndrome,consult doctor,rest,drink fluids,medication
Septic Heart Infection,consult doctor,rest,drink fluids,medication
Septic Skin Failure,consult doctor,rest,drink fluids,medication
Septic Kidney Disease,consult doctor,rest,drink fluids,medication
Chronic Throat Disease,consult doctor,rest,drink fluids,medication
Viral Liver Pain,consult doctor,rest,drink fluids,medication
Idiopathic Joint Infection,consult doctor,rest,drink fluids,medication
Acute Bone Dysfunction,consult doctor,rest,drink fluids,medication
Viral Skin Syndrome,consult doctor,rest,drink fluids,medication
Autoimmune Intestine Damage,consult doctor,rest,drink fluids,medication
Traumatic Lung Inflammation,consult doctor,rest,drink fluids,medication
Bacterial Thyroid Syndrome,consult doctor,rest,drink fluids,medication
Severe Lung Syndrome,consult doctor,rest,drink fluids,medication
Autoimmune Throat Syndrome,consult doctor,rest,drink fluids,medication
Septic Muscle Damage,consult doctor,rest,drink fluids,medication
Fungal Muscle Congestion,consult doctor,rest,drink fluids,medication
Acute Eye Degeneration,consult doctor,rest,drink fluids,medication
Idiopathic Skin Dysfunction,consult doctor,rest,drink fluids,medication
Septic Stomach Congestion,consult doctor,rest,drink fluids,medication
Severe Nerve Tumor,consult doctor,rest,drink fluids,medication
Autoimmune Skin Disease,consult doctor,rest,drink fluids,medication
Autoimmune Eye Failure,consult doctor,rest,drink fluids,medication
Allergic Blood Degeneration,consult doctor,rest,drink fluids,medication
Traumatic Brain Inflammation,consult doctor,rest,drink fluids,medication
Chronic Joint Congestion,consult doctor,rest,drink fluids,medication
Chronic Intestine Dysfunction,consult doctor,rest,drink fluids,medication
Severe Bone Damage,consult doctor,rest,drink fluids,medication
Acute Kidney Degeneration,consult doctor,rest,drink fluids,medication
Idiopathic Intestine Failure,consult doctor,rest,drink fluids,medication
Fungal Thyroid Dysfunction,consult doctor,rest,drink fluids,medication
Autoimmune Skin Dysfunction,consult doctor,rest,drink fluids,medication
Bacterial Ear Dysfunction,consult doctor,rest,drink fluids,medication
Viral Ear Congestion,consult doctor,rest,drink fluids,medication
Allergic Liver Failure,consult doctor,rest,drink fluids,medication
Chronic Skin Degeneration,consult doctor,rest,drink fluids,medication
Bacterial Lung Failure,consult doctor,rest,drink fluids,medication
Severe Intestine Syndrome,consult doctor,rest,drink fluids,medication
Chronic Lung Pain,consult doctor,rest,drink fluids,medication
Idiopathic Joint Failure,consult doctor,rest,drink fluids,medication
Chronic Throat Calculus,consult doctor,rest,drink fluids,medication
Mild Blood Failure,consult doctor,rest,drink fluids,medication
Fungal Brain Calculus,consult doctor,rest,drink fluids,medication
Mild Joint Degeneration,consult doctor,rest,drink fluids,medication
Allergic Eye Pain,consult doctor,rest,drink fluids,medication
Severe Skin Disorder,consult doctor,rest,drink fluids,medication
Idiopathic Blood Infection,consult doctor,rest,drink fluids,medication
Bacterial Intestine Degeneration,consult doctor,rest,drink fluids,medication
Hereditary Ear Congestion,consult doctor,rest,drink fluids,medication
Bacterial Intestine Dysfunction,consult doctor,rest,drink fluids,medication
Septic Joint Disease,consult doctor,rest,drink fluids,medication
Acute Joint Degeneration,consult doctor,rest,drink fluids,medication
Bacterial Skin Disease,consult doctor,rest,drink fluids,medication
Bacterial Muscle Syndrome,consult doctor,rest,drink fluids,medication
Mild Bone Failure,consult doctor,rest,drink fluids,medication
Mild Joint Infection,consult doctor,rest,drink fluids,medication
Bacterial Throat Congestion,consult doctor,rest,drink fluids,medication
Traumatic Skin Failure,consult doctor,rest,drink fluids,medication
Severe Muscle Tumor,consult doctor,rest,drink fluids,medication
Severe Joint Congestion,consult doctor,rest,drink fluids,medication
Autoimmune Muscle Disorder,consult doctor,rest,drink fluids,medication
Hereditary Skin Degeneration,consult doctor,rest,drink fluids,medication
Allergic Brain Disease,consult doctor,rest,drink fluids,medication
Traumatic Eye Tumor,consult doctor,rest,drink fluids,medication
Bacterial Throat Inflammation,consult doctor,rest,drink fluids,medication
Traumatic Kidney Tumor,consult doctor,rest,drink fluids,medication
Chronic Eye Inflammation,consult doctor,rest,drink fluids,medication
Viral Liver Dysfunction,consult doctor,rest,drink fluids,medication
Metabolic Lung Syndrome,consult doctor,rest,drink fluids,medication
Metabolic Stomach Damage,consult doctor,rest,drink fluids,medication
Viral Ear Inflammation,consult doctor,rest,drink fluids,medication
Mild Stomach Tumor,consult doctor,rest,drink fluids,medication
Bacterial Stomach Dysfunction,consult doctor,rest,drink fluids,medication
Severe Nerve Infection,consult doctor,rest,drink fluids,medication
Autoimmune Stomach Pain,consult doctor,rest,drink fluids,medication
Mild Brain Failure,consult doctor,rest,drink fluids,medication
Viral Lung Congestion,consult doctor,rest,drink fluids,medication
Acute Throat Pain,consult doctor,rest,drink fluids,medication
Idiopathic Heart Degeneration,consult doctor,rest,drink fluids,medication
Septic Brain Calculus,consult doctor,rest,drink fluids,medication
Allergic Liver Dysfunction,consult doctor,rest,drink fluids,medication
Septic Skin Pain,consult doctor,rest,drink fluids,medication
Autoimmune Kidney Syndrome,consult doctor,rest,drink fluids,medication
Idiopathic Liver Degeneration,consult doctor,rest,drink fluids,medication
Mild Nerve Infection,consult doctor,rest,drink fluids,medication
Viral Throat Calculus,consult doctor,rest,drink fluids,medication
Traumatic Eye Calculus,consult doctor,rest,drink fluids,medication
Acute Brain Congestion,consult doctor,rest,drink fluids,medication
Metabolic Thyroid Infection,consult doctor,rest,drink fluids,medication
Severe Liver Damage,consult doctor,rest,drink fluids,medication
Metabolic Nerve Congestion,consult doctor,rest,drink fluids,medication
Acute Blood Calculus,consult doctor,rest,drink fluids,medication
Idiopathic Throat Disorder,consult doctor,rest,drink fluids,medication
Fungal Joint Disorder,consult doctor,rest,drink fluids,medication
Idiopathic Intestine Inflammation,consult doctor,rest,drink fluids,medication
Allergic Skin Disorder,consult doctor,rest,drink fluids,medication
Acute Joint Pain,consult doctor,rest,drink fluids,medication
Metabolic Ear Failure,consult doctor,rest,drink fluids,medication
Viral Bone Disease,consult doctor,rest,drink fluids,medication
Autoimmune Joint Syndrome,consult doctor,rest,drink fluids,medication
Metabolic Heart Disease,consult doctor,rest,drink fluids,medication
Idiopathic Eye Damage,consult doctor,rest,drink fluids,medication
Fungal Throat Infection,consult doctor,rest,drink fluids,medication
Septic Intestine Syndrome,consult doctor,rest,drink fluids,medication
Acute Blood Tumor,consult doctor,rest,drink fluids,medication
Metabolic Blood Failure,consult doctor,rest,drink fluids,medication
Chronic Ear Failure,consult doctor,rest,drink fluids,medication
Chronic Joint Inflammation,consult doctor,rest,drink fluids,medication
Bacterial Brain Tumor,consult doctor,rest,drink fluids,medication
Bacterial Kidney Disease,consult doctor,rest,drink fluids,medication
Septic Nerve Disorder,consult doctor,rest,drink fluids,medication
Mild Kidney Infection,consult doctor,rest,drink fluids,medication
Idiopathic Kidney Tumor,consult doctor,rest,drink fluids,medication
Acute Nerve Congestion,consult doctor,rest,drink fluids,medication
Idiopathic Heart Calculus,consult doctor,rest,drink fluids,medication
Acute Muscle Disease,consult doctor,rest,drink fluids,medication
Fungal Joint Pain,consult doctor,rest,drink fluids,medication
Hereditary Eye Disease,consult doctor,rest,drink fluids,medication
Severe Intestine Dysfunction,consult doctor,rest,drink fluids,medication
Viral Joint Damage,consult doctor,rest,drink fluids,medication
Mild Kidney Pain,consult doctor,rest,drink fluids,medication
Idiopathic Nerve Dysfunction,consult doctor,rest,drink fluids,medication
Autoimmune Nerve Syndrome,consult doctor,rest,drink fluids,medication
Bacterial Lung Degeneration,consult doctor,rest,drink fluids,medication
Allergic Thyroid Infection,consult doctor,rest,drink fluids,medication
Acute Thyroid Congestion,consult doctor,rest,drink fluids,medication
Autoimmune Blood Syndrome,consult doctor,rest,drink fluids,medication
Traumatic Kidney Dysfunction,consult doctor,rest,drink fluids,medication
Chronic Kidney Infection,consult doctor,rest,drink fluids,medication
Traumatic Skin Infection,consult doctor,rest,drink fluids,medication
Allergic Skin Tumor,consult doctor,rest,drink fluids,medication
Septic Thyroid Inflammation,consult doctor,rest,drink fluids,medication
Severe Heart Failure,consult doctor,rest,drink fluids,medication
Traumatic Lung Infection,consult doctor,rest,drink fluids,medication
Viral Intestine Dysfunction,consult doctor,rest,drink fluids,medication
Allergic Brain Failure,consult doctor,rest,drink fluids,medication
Idiopathic Muscle Failure,consult doctor,rest,drink fluids,medication
Traumatic Joint Syndrome,consult doctor,rest,drink fluids,medication
Idiopathic Intestine Disorder,consult doctor,rest,drink fluids,medication
Traumatic Stomach Disease,consult doctor,rest,drink fluids,medication
Mild Kidney Disease,consult doctor,rest,drink fluids,medication
Severe Liver Inflammation,consult doctor,rest,drink fluids,medication
Traumatic Ear Degeneration,consult doctor,rest,drink fluids,medication
Metabolic Eye Congestion,consult doctor,rest,drink fluids,medication
Hereditary Throat Dysfunction,consult doctor,rest,drink fluids,medication
Bacterial Bone Inflammation,consult doctor,rest,drink fluids,medication
Allergic Muscle Calculus,consult doctor,rest,drink fluids,medication
Severe Intestine Calculus,consult doctor,rest,drink fluids,medication
Allergic Muscle Disorder,consult doctor,rest,drink fluids,medication
Bacterial Liver Syndrome,consult doctor,rest,drink fluids,medication
Chronic Joint Disorder,consult doctor,rest,drink fluids,medication
Septic Muscle Syndrome,consult doctor,rest,drink fluids,medication
Mild Kidney Syndrome,consult doctor,rest,drink fluids,medication
Bacterial Joint Calculus,consult doctor,rest,drink fluids,medication
Traumatic Heart Damage,consult doctor,rest,drink fluids,medication
Severe Muscle Pain,consult doctor,rest,drink fluids,medication
Septic Stomach Inflammation,consult doctor,rest,drink fluids,medication
Mild Thyroid Tumor,consult doctor,rest,drink fluids,medication
Allergic Kidney Calculus,consult doctor,rest,drink fluids,medication
Metabolic Ear Tumor,consult doctor,rest,drink fluids,medication
Bacterial Blood Calculus,consult doctor,rest,drink fluids,medication
Chronic Kidney Syndrome,consult doctor,rest,drink fluids,medication
Autoimmune Nerve Pain,consult doctor,rest,drink fluids,medication
Severe Liver Disorder,consult doctor,rest,drink fluids,medication
Mild Liver Inflammation,consult doctor,rest,drink fluids,medication
Severe Bone Infection,consult doctor,rest,drink fluids,medication
Hereditary Nerve Tumor,consult doctor,rest,drink fluids,medication
Acute Heart Congestion,consult doctor,rest,drink fluids,medication
Hereditary Ear Syndrome,consult doctor,rest,drink fluids,medication
Bacterial Muscle Congestion,consult doctor,rest,drink fluids,medication
Metabolic Kidney Pain,consult doctor,rest,drink fluids,medication
Severe Nerve Disorder,consult doctor,rest,drink fluids,medication
Mild Throat Syndrome,consult doctor,rest,drink fluids,medication
Mild Bone Dysfunction,consult doctor,rest,drink fluids,medication
Metabolic Heart Dysfunction,consult doctor,rest,drink fluids,medication
Mild Liver Pain,consult doctor,rest,drink fluids,medication
Mild Muscle Failure,consult doctor,rest,drink fluids,medication
Severe Thyroid Syndrome,consult doctor,rest,drink fluids,medication
Fungal Stomach Inflammation,consult doctor,rest,drink fluids,medication
Mild Skin Dysfunction,consult doctor,rest,drink fluids,medication
Chronic Muscle Inflammation,consult doctor,rest,drink fluids,medication
Idiopathic Intestine Tumor,consult doctor,rest,drink fluids,medication
Idiopathic Skin Tumor,consult doctor,rest,drink fluids,medication
Mild Eye Calculus,consult doctor,rest,drink fluids,medication
Autoimmune Stomach Dysfunction,consult doctor,rest,drink fluids,medication
Chronic Thyroid Inflammation,consult doctor,rest,drink fluids,medication
Viral Throat Inflammation,consult doctor,rest,drink fluids,medication
Bacterial Bone Calculus,consult doctor,rest,drink fluids,medication
Metabolic Lung Disease,consult doctor,rest,drink fluids,medication
Idiopathic Ear Calculus,consult doctor,rest,drink fluids,medication
Traumatic Intestine Degeneration,consult doctor,rest,drink fluids,medication
Traumatic Joint Tumor,consult doctor,rest,drink fluids,medication
Acute Kidney Disease,consult doctor,rest,drink fluids,medication
Acute Eye Failure,consult doctor,rest,drink fluids,medication
Viral Brain Degeneration,consult doctor,rest,drink fluids,medication
Allergic Ear Pain,consult doctor,rest,drink fluids,medication
Septic Throat Damage,consult doctor,rest,drink fluids,medication
Mild Throat Tumor,consult doctor,rest,drink fluids,medication
Autoimmune Kidney Damage,consult doctor,rest,drink fluids,medication
Fungal Brain Failure,consult doctor,rest,drink fluids,medication
Traumatic Liver Pain,consult doctor,rest,drink fluids,medication
Autoimmune Joint Tumor,consult doctor,rest,drink fluids,medication
Idiopathic Kidney Damage,consult doctor,rest,drink fluids,medication
Autoimmune Joint Damage,consult doctor,rest,drink fluids,medication
Metabolic Liver Syndrome,consult doctor,rest,drink fluids,medication
Traumatic Liver Tumor,consult doctor,rest,drink fluids,medication
Bacterial Liver Infection,consult doctor,rest,drink fluids,medication
Viral Eye Failure,consult doctor,rest,drink fluids,medication
Fungal Heart Dysfunction,consult doctor,rest,drink fluids,medication
Idiopathic Joint Inflammation,consult doctor,rest,drink fluids,medication
Traumatic Intestine Damage,consult doctor,rest,drink fluids,medication
Septic Thyroid Congestion,consult doctor,rest,drink fluids,medication
Idiopathic Brain Dysfunction,consult doctor,rest,drink fluids,medication
Allergic Lung Tumor,consult doctor,rest,drink fluids,medication
Metabolic Ear Pain,consult doctor,rest,drink fluids,medication
Chronic Muscle Degeneration,consult doctor,rest,drink fluids,medication
Acute Ear Congestion,consult doctor,rest,drink fluids,medication
Fungal Thyroid Disease,consult doctor,rest,drink fluids,medication
Mild Ear Disease,consult doctor,rest,drink fluids,medication
Chronic Skin Tumor,consult doctor,rest,drink fluids,medication
Metabolic Blood Syndrome,consult doctor,rest,drink fluids,medication
Septic Blood Tumor,consult doctor,rest,drink fluids,medication
Traumatic Thyroid Disorder,consult doctor,rest,drink fluids,medication
Septic Intestine Tumor,consult doctor,rest,drink fluids,medication
Mild Thyroid Infection,consult doctor,rest,drink fluids,medication
Idiopathic Lung Pain,consult doctor,rest,drink fluids,medication
Autoimmune Bone Tumor,consult doctor,rest,drink fluids,medication
Bacterial Throat Calculus,consult doctor,rest,drink fluids,medication
Traumatic Throat Tumor,consult doctor,rest,drink fluids,medication
Fungal Lung Pain,consult doctor,rest,drink fluids,medication
Chronic Joint Disease,consult doctor,rest,drink fluids,medication
Hereditary Intestine Calculus,consult doctor,rest,drink fluids,medication
Mild Liver Syndrome,consult doctor,rest,drink fluids,medication
Traumatic Kidney Pain,consult doctor,rest,drink fluids,medication
Chronic Blood Disease,consult doctor,rest,drink fluids,medication
Viral Intestine Tumor,consult doctor,rest,drink fluids,medication
Hereditary Kidney Congestion,consult doctor,rest,drink fluids,medication
Allergic Throat Congestion,consult doctor,rest,drink fluids,medication
Mild Nerve Failure,consult doctor,rest,drink fluids,medication
Mild Nerve Degeneration,consult doctor,rest,drink fluids,medication
Severe Brain Tumor,consult doctor,rest,drink fluids,medication
Hereditary Bone Congestion,consult doctor,rest,drink fluids,medication
Acute Ear Infection,consult doctor,rest,drink fluids,medication
Acute Kidney Syndrome,consult doctor,rest,drink fluids,medication
Viral Intestine Damage,consult doctor,rest,drink fluids,medication
Septic Thyroid Infection,consult doctor,rest,drink fluids,medication
Idiopathic Bone Disease,consult doctor,rest,drink fluids,medication
Idiopathic Nerve Inflammation,consult doctor,rest,drink fluids,medication
Acute Ear Inflammation,consult doctor,rest,drink fluids,medication
Idiopathic Bone Inflammation,consult doctor,rest,drink fluids,medication
Bacterial Blood Disorder,consult doctor,rest,drink fluids,medication
Traumatic Muscle Degeneration,consult doctor,rest,drink fluids,medication
Viral Muscle Calculus,consult doctor,rest,drink fluids,medication
Bacterial Nerve Infection,consult doctor,rest,drink fluids,medication
Acute Heart Inflammation,consult doctor,rest,drink fluids,medication
Chronic Liver Inflammation,consult doctor,rest,drink fluids,medication
Mild Throat Damage,consult doctor,rest,drink fluids,medication
Traumatic Stomach Pain,consult doctor,rest,drink fluids,medication
Mild Heart Infection,consult doctor,rest,drink fluids,medication
Metabolic Eye Failure,consult doctor,rest,drink fluids,medication
Idiopathic Throat Calculus,consult doctor,rest,drink fluids,medication
Allergic Stomach Disease,consult doctor,rest,drink fluids,medication
Mild Bone Syndrome,consult doctor,rest,drink fluids,medication
Metabolic Intestine Degeneration,consult doctor,rest,drink fluids,medication
Autoimmune Joint Congestion,consult doctor,rest,drink fluids,medication
Idiopathic Eye Inflammation,consult doctor,rest,drink fluids,medication
Acute Ear Pain,consult doctor,rest,drink fluids,medication
Chronic Muscle Pain,consult doctor,rest,drink fluids,medication
Septic Muscle Degeneration,consult doctor,rest,drink fluids,medication
Bacterial Ear Calculus,consult doctor,rest,drink fluids,medication
Mild Stomach Disease,consult doctor,rest,drink fluids,medication
Chronic Kidney Dysfunction,consult doctor,rest,drink fluids,medication
Hereditary Stomach Disorder,consult doctor,rest,drink fluids,medication
Bacterial Ear Infection,consult doctor,rest,drink fluids,medication
Septic Eye Pain,consult doctor,rest,drink fluids,medication
Hereditary Liver Inflammation,consult doctor,rest,drink fluids,medication
Metabolic Thyroid Damage,consult doctor,rest,drink fluids,medication
Idiopathic Intestine Dysfunction,consult doctor,rest,drink fluids,medication
Severe Lung Inflammation,consult doctor,rest,drink fluids,medication
Bacterial Blood Congestion,consult doctor,rest,drink fluids,medication
Viral Liver Disorder,consult doctor,rest,drink fluids,medication
Bacterial Intestine Infection,consult doctor,rest,drink fluids,medication
Mild Lung Congestion,consult doctor,rest,drink fluids,medication
Acute Bone Disease,consult doctor,rest,drink fluids,medication
Chronic Blood Infection,consult doctor,rest,drink fluids,medication
Chronic Nerve Disorder,consult doctor,rest,drink fluids,medication
Chronic Skin Calculus,consult doctor,rest,drink fluids,medication
Allergic Bone Inflammation,consult doctor,rest,drink fluids,medication
Septic Intestine Inflammation,consult doctor,rest,drink fluids,medication
Fungal Blood Infection,consult doctor,rest,drink fluids,medication
Metabolic Stomach Dysfunction,consult doctor,rest,drink fluids,medication
Fungal Blood Disease,consult doctor,rest,drink fluids,medication
Viral Brain Tumor,consult doctor,rest,drink fluids,medication
Idiopathic Ear Infection,consult doctor,rest,drink fluids,medication
Septic Ear Damage,consult doctor,rest,drink fluids,medication
Autoimmune Muscle Inflammation,consult doctor,rest,drink fluids,medication
Viral Liver Tumor,consult doctor,rest,drink fluids,medication
Autoimmune Thyroid Degeneration,consult doctor,rest,drink fluids,medication
Idiopathic Thyroid Calculus,consult doctor,rest,drink fluids,medication
Acute Intestine Congestion,consult doctor,rest,drink fluids,medication
Mild Intestine Damage,consult doctor,rest,drink fluids,medication
Idiopathic Liver Pain,consult doctor,rest,drink fluids,medication
Acute Lung Syndrome,consult doctor,rest,drink fluids,medication
Hereditary Bone Calculus,consult doctor,rest,drink fluids,medication
Viral Bone Degeneration,consult doctor,rest,drink fluids,medication
Traumatic Throat Calculus,consult doctor,rest,drink fluids,medication
Autoimmune Liver Congestion,consult doctor,rest,drink fluids,medication
Mild Blood Damage,consult doctor,rest,drink fluids,medication
Acute Kidney Damage,consult doctor,rest,drink fluids,medication
Chronic Kidney Failure,consult doctor,rest,drink fluids,medication
Chronic Brain Inflammation,consult doctor,rest,drink fluids,medication
Autoimmune Throat Tumor,consult doctor,rest,drink fluids,medication
Chronic Thyroid Damage,consult doctor,rest,drink fluids,medication
Septic Blood Syndrome,consult doctor,rest,drink fluids,medication
Metabolic Joint Degeneration,consult doctor,rest,drink fluids,medication
Idiopathic Thyroid Syndrome,consult doctor,rest,drink fluids,medication
Bacterial Ear Inflammation,consult doctor,rest,drink fluids,medication
Acute Throat Disorder,consult doctor,rest,drink fluids,medication
Viral Muscle Infection,consult doctor,rest,drink fluids,medication
Hereditary Muscle Infection,consult doctor,rest,drink fluids,medication
Septic Muscle Failure,consult doctor,rest,drink fluids,medication
Autoimmune Bone Pain,consult doctor,rest,drink fluids,medication
Autoimmune Ear Degeneration,consult doctor,rest,drink fluids,medication
Metabolic Throat Degeneration,consult doctor,rest,drink fluids,medication
Autoimmune Skin Disorder,consult doctor,rest,drink fluids,medication
Fungal Stomach Degeneration,consult doctor,rest,drink fluids,medication
Traumatic Brain Disease,consult doctor,rest,drink fluids,medication
Metabolic Joint Dysfunction,consult doctor,rest,drink fluids,medication
Idiopathic Blood Inflammation,consult doctor,rest,drink fluids,medication
Traumatic Muscle Disease,consult doctor,rest,drink fluids,medication
Septic Heart Congestion,consult doctor,rest,drink fluids,medication
Autoimmune Ear Failure,consult doctor,rest,drink fluids,medication
Acute Stomach Failure,consult doctor,rest,drink fluids,medication
Allergic Joint Inflammation,consult doctor,rest,drink fluids,medication
Mild Joint Damage,consult doctor,rest,drink fluids,medication
Fungal Thyroid Disorder,consult doctor,rest,drink fluids,medication
Bacterial Eye Calculus,consult doctor,rest,drink fluids,medication
Severe Intestine Failure,consult doctor,rest,drink fluids,medication
Idiopathic Muscle Dysfunction,consult doctor,rest,drink fluids,medication
Bacterial Muscle Inflammation,consult doctor,rest,drink fluids,medication
Septic Stomach Disorder,consult doctor,rest,drink fluids,medication
Hereditary Blood Congestion,consult doctor,rest,drink fluids,medication
Septic Kidney Infection,consult doctor,rest,drink fluids,medication
Idiopathic Heart Syndrome,consult doctor,rest,drink fluids,medication
Traumatic Muscle Infection,consult doctor,rest,drink fluids,medication
Allergic Muscle Inflammation,consult doctor,rest,drink fluids,medication
Fungal Brain Infection,consult doctor,rest,drink fluids,medication
Allergic Intestine Dysfunction,consult doctor,rest,drink fluids,medication
Viral Blood Pain,consult doctor,rest,drink fluids,medication
Traumatic Thyroid Infection,consult doctor,rest,drink fluids,medication
Fungal Brain Dysfunction,consult doctor,rest,drink fluids,medication
Mild Brain Degeneration,consult doctor,rest,drink fluids,medication
Severe Muscle Infection,consult doctor,rest,drink fluids,medication
Autoimmune Intestine Calculus,consult doctor,rest,drink fluids,medication
Chronic Heart Degeneration,consult doctor,rest,drink fluids,medication
Autoimmune Throat Congestion,consult doctor,rest,drink fluids,medication
Bacterial Thyroid Dysfunction,consult doctor,rest,drink fluids,medication
Allergic Brain Degeneration,consult doctor,rest,drink fluids,medication
Traumatic Heart Infection,consult doctor,rest,drink fluids,medication
Allergic Bone Pain,consult doctor,rest,drink fluids,medication
Severe Joint Infection,consult doctor,rest,drink fluids,medication
Metabolic Intestine Inflammation,consult doctor,rest,drink fluids,medication
Autoimmune Stomach Degeneration,consult doctor,rest,drink fluids,medication
Chronic Lung Infection,consult doctor,rest,drink fluids,medication
Viral Eye Degeneration,consult doctor,rest,drink fluids,medication
Traumatic Skin Pain,consult doctor,rest,drink fluids,medication
Idiopathic Heart Congestion,consult doctor,rest,drink fluids,medication
Fungal Lung Congestion,consult doctor,rest,drink fluids,medication
Bacterial Skin Inflammation,consult doctor,rest,drink fluids,medication
Metabolic Ear Damage,consult doctor,rest,drink fluids,medication
Mild Intestine Syndrome,consult doctor,rest,drink fluids,medication
Severe Throat Dysfunction,consult doctor,rest,drink fluids,medication
Mild Kidney Disorder,consult doctor,rest,drink fluids,medication
Severe Throat Infection,consult doctor,rest,drink fluids,medication
Acute Stomach Dysfunction,consult doctor,rest,drink fluids,medication
Metabolic Heart Damage,consult doctor,rest,drink fluids,medication
Fungal Eye Failure,consult doctor,rest,drink fluids,medication
Hereditary Ear Inflammation,consult doctor,rest,drink fluids,medication
Traumatic Skin Congestion,consult doctor,rest,drink fluids,medication
